id,Original Sentence,Human 1 Writing,Human 1,Human 2 Writing,Human 2,GPT-3-zero-shot,GPT-3-few-shot,Muss,T5-3B,T5-11B
0,"In southwestern Ontario, Highway 401 was closed for much of December 23 between London and Tilbury, west of Chatham, due to about 100 vehicles, including numerous tractor trailers, being involved in multiple collisions, while Highway 402 was closed between London and Sarnia because of a 50-vehicle pileup and deteriorating conditions.","Due to multiple collisions, Highway 401 was closed for much of December 23 between London and Tilbury in southwestern Ontario. Highway 402 was also closed between London and Sarnia due to a large accident and bad weather.",vinayak,"In Ontario, Highway 401 between London and Tilbury closed for most of December 23 due to 100 vehicles involved in accidents. Highway 402 between London and Sarnia was also closed due to a 50-vehicle pileup and worsening conditions.",ayush,"Highway 401 between London and Tilbury, west of Chatham, was closed on December 23. It was caused by around 100 vehicles, including multiple tractor trailers, getting into various accidents. On the same day, Highway 402 closed between London and Sarnia, resulting from a large pileup involving 50 vehicles, plus worsening weather.","In southwestern Ontario, due to deteriorating conditions and multiple collisions, Highway 401 was shut down between London and Tilbury, near Chatham, on December 23. Additionally, a 50-vehicle pileup caused the closure of Highway 402 between London and Sarnia.","In southwestern Ontario, Highway 401 was closed for a lot of time on December 23 between London and Tilbury, west of Chatham, because of many cars being hit. Also, Highway 402 was closed between London and Sarnia because of a 50-vehicle pileup, and it was not clear when it would open again.","In southwestern Ontario, Highway 401 was closed for much of December 23 between London and Tilbury, west of Chatham, because of about 100 vehicles being involved in multiple collisions. Highway 402 was closed between London and Sarnia because of a 50-vehicle pileup.","In southwestern Ontario, Highway 401 was closed for much of December 23 between London and Tilbury, west of Chatham, due to about 100 vehicles, including numerous tractor trailers, being involved in multiple collisions. Highway 402 was closed between London and Sarnia because of a 50-vehicle pileup and bad conditions."
1,"Argentine footballer Lionel Messi's Instagram post containing photos of him lifting the FIFA World Cup Trophy and celebrating with the Argentina team after winning the 2022 FIFA World Cup two days prior becomes the social networking service's most-liked post after reaching over 56 million likes, surpassing the previous record held by the Instagram egg.","Lionel Messi’s Instagram post of him lifting the world cup trophy and celebrating with Argentina became Instagram’s new most-liked photo, reaching over 56 million likes. The previous record was held by the Instagram egg.",anton,Lionel Messi’s Instagram post of him holding the FIFA World Cup Trophy exceeded the Instagram egg post and became Instagram’s most-liked post after reaching over 56 million likes.,ayush,"The Instagram post of Argentine footballer Lionel Messi, celebrating with the Argentina team after they won the 2022 FIFA World Cup two days prior, showing him lifting the trophy, gained more likes than any other post ever on the social network. It got a record-breaking 56 million likes, surpassing the previous record held by the Instagram egg.","Lionel Messi, an Argentine footballer, posted photos on Instagram of him winning the 2022 FIFA World Cup. It became Instagram's most-liked post ever, with over 56 million likes, surpassing the record held by the Instagram egg.",Argentine football player Lionel Messi's Instagram post became the most-liked post on the social networking service after reaching over 56 million likes. The post contained photos of Messi lifting the FIFA World Cup Trophy and celebrating with the Argentina team after winning the 2022 FIFA World Cup two days prior.,Argentine footballer Lionel Messi's Instagram post containing photos of him lifting the FIFA World Cup Trophy and celebrating with the Argentina team after winning the 2022 FIFA World Cup becomes the social networking service's most-liked post after reaching over 56 million likes.,Argentine footballer Lionel Messi's Instagram post of him lifting the FIFA World Cup Trophy and celebrating with the Argentina team after winning the 2022 FIFA World Cup two days prior becomes the social networking service's most-liked post.
2,"In 2021 the EU imported 83% of its natural gas, but following the invasion of Ukraine, gas imports from Russia have fallen, partly due to the increasing cost, partly because of reductions in supply from Russia, partly through reduction of consumption and partly because of a desire to move away from Russia's Gazprom as a supplier.","The EU used to import a lot of gas from Russia. But due to the invasion of Ukraine, gas imports from Russia have fallen. This is because costs have increased, supply from Russia has gone down, consumption in Europe has decreased, and Europe wants to move away from Russia as a natural gas supplier.",anton,"In 2021 the EU imported 83% of its natural gas. However, after the invasion of Ukraine, gas imports from Russia have gone down. This is because it is getting more expensive, supply from Russia is going down, less gas is being used, and they want to stop using Russia's Gazprom as a supplier.",kelly,"In 2021, the EU imported 83% of its natural gas, mostly from Russia. However, after Russia invaded Ukraine, gas imports from Russia dropped due to increasing costs and reduced supply, as well as lower consumption and the desire to look for an alternative supplier to Gazprom.","In 2021 the EU imported most of its natural gas, but following Russia's invasion of Ukraine, gas imports from them have decreased. This is because of the rising cost, cuts in supply, reduction in consumption, and a wish to no longer be dependent on Gazprom for resources.","In 2021, the EU will need 83% of its natural gas from Russia, but following the invasion of Ukraine, gas imports from Russia have fallen. This is partly because of reduced supply from Russia, partly because people in the EU no longer use as much gas, and partly because of rising costs.","In 2021 the EU imported 83% of its natural gas, but following the invasion of Ukraine, gas imports from Russia have fallen. This is partly due to the increasing cost, and partly due to reductions in supply from Russia.","In 2021 the EU imported 83.3 % of its natural gas, but following the invasion of Ukraine, gas imports from Russia have fallen, partly due to the increasing cost, partly because of reductions in supply from Russia, partly through reduction of consumption and partly because of a desire to move away from Russia's Gazprom as a supplier."
3,"Elon Musk banned Twitter accounts that were publishing information about flights on his private jet (which he compared to being doxxed), but by blocking these accounts and the accounts of journalists that repeated the information, he drew even more attention to the issue.","Elon Musk banned Twitter accounts that published information about his private jet logs, but blocking these accounts and accounts of journalists that shared the information led to more attention on the issue. ",ayush,"Elon Musk banned Twitter accounts that were tweeting about flights on his private jet. However, by blocking these accounts and the accounts of journalists who shared the information, he drew even more attention to the issue.",anton,"Elon Musk compared publishing information about flights on his private jet to being ""doxxed"" and banned Twitter accounts that were responsible for doing so. However, his action of blocking these accounts as well as accounts of journalists who repeated the information only generated more attention to the issue.","Elon Musk did not want people to know about the flights on his private jet, so he blocked the Twitter accounts that shared this information. However, by doing this, he actually drew more attention to the issue.","Elon Musk banned some Twitter accounts that were giving out information about flights on his private jet. Musk said that it was like being doxxed, but by doing this, he made more people know about the issue and more people wanted to know about it.","Elon Musk banned Twitter accounts that were publishing information about flights on his private jet. By blocking these accounts and the accounts of journalists that repeated the information, the issue drew even more attention to the issue.","Elon Musk, the owner of Tesla, banned Twitter accounts that were publishing information about flights on his private jet (which he compared to being doxxed). By banning these accounts and the accounts of journalists that repeated the information, he drew even more attention to the issue."
4,"Following the release of Wednesday, Wednesday Addams's dance from the series and its fan recreations to Lady Gaga's song ""Bloody Mary"" went viral on video sharing service TikTok.","After the release of the series Wednesday, Wednesday’s dance to the song “Bloody Mary” went viral on TikTok.",vinayak,"After the release of Wednesday, Wednesday Addams’s dance from the show and its fan’s recreations of Lady Gaga’s song “Bloody Mary” became very popular on TikTok.",anton,"Wednesday Addams' dance to Lady Gaga's ""Bloody Mary"" went viral on TikTok after it was released on Wednesday.","Wednesday Addams's dance from the series and its fan recreations to Lady Gaga's song ""Bloody Mary"" became popular on TikTok after its release.","A fan made a dance from the series to Lady Gaga's song ""Bloody Mary"". The dance went viral on video sharing service TikTok, where many people watched the video.","Following the release of Wednesday, Wednesday Addams's dance from the series and its fan recreations to Lady Gaga's song "" Bloody Mary "" went viral on video sharing service TikTok.","Following the release of "" Wednesday "", Addams'dance from the series and its fan recreations of Lady Gaga's song "" Bloody Mary "" went viral on the video sharing service TikTok."
5,"In a 233–191 bipartisan vote, the U.S. House of Representatives passes a bill that would allow Puerto Rico to have its first ever binding referendum to decide whether the unincorporated territory should become a state, an independent nation or an independent nation with free association.","In a bipartisan vote, the US House of Representatives passed a bill allowing Puerto Ricans to vote for the first time on statehood, self-rule, or self-rule with free association.",rachel,The U.S. House of Representatives passed a bill that allowed Puerto Rico to hold a vote to decide whether they should become a state or an independent nation with or without free association. ,ayush,"The U.S. House of Representatives passed a bill with a 233-191 bipartisan vote. This bill would allow Puerto Rico to hold its first binding referendum to decide whether to become a state, an independent nation, or a nation with free association.","In a 233-191 vote that crossed party lines, the U.S. House of Representatives passed a bill to give Puerto Rico its first binding referendum. This referendum will determine if the unincorporated territory should become a state, an independent nation, or an independent nation with a special relationship.",The U.S. House of Representatives passes a bill that would allow Puerto Rico to have its first ever binding referendum to decide if it should stay in the United States or become an independent nation. The vote was 233-191 in favor of the bill.,"In a 233-191 vote, the U.S. House of Representatives passes a bill that would allow Puerto Rico to have its first ever binding referendum to decide whether the unincorporated territory should become a state, an independent nation or an independent with free association.","In a 233-191 bipartisan vote, the U.S. House of Representatives passes a bill that would allow Puerto Rico to have its first ever binding referendum to decide whether the unincorporated territory should become a state, an independent nation or an independent nation with free association."
6,The United States Senate passes a defense bill that rescinds the vaccine mandate for the U.S. military.,The US Senate passes a bill that cancels the vaccine requirement for the military.,vinayak,The United States Senate passes a defense bill that gets rid of the vaccine requirement for the U.S. military.,kelly,The U.S. Senate has approved a defense bill that removes the requirement to get vaccinated for the military.,The U.S. Senate approved a defense bill that cancels the requirement for military personnel to get vaccines.,The United States Senate passes a defense bill. The U.S. military is required to get a vaccine.,The United States Senate passes a defense bill that removes the vaccine mandate for the U.S. military.,The United States Senate passes a defense bill that removes the vaccine mandate for the U.S. military.
7,The Royal College of Nursing begins the largest strike action in the history of the National Health Service amid a dispute with the government over a pay increase for nurses.,The Royal College of Nursing was fighting with the government because they wanted nurses to get paid more. This led to the largest strike the National Health Service had ever seen.,vishnesh,"After a dispute with the government over the pay of nurses, the Royal College of Nursing went on the largest strike in the history of the NHS.",vinayak,The Royal College of Nursing is taking part in the biggest strike in National Health Service history. This is in response to the government's refusal to give nurses a pay rise.,"The Royal College of Nursing launched the biggest strike in NHS history, arguing with the government over a pay rise for nurses.",The Royal College of Nursing begin the largest strike action in the service's history. They are trying to get a 10% pay increase that the government will not accept.,The Royal College of Nursing began the largest strike action in the history of the National Health Service. This was because of a disagreement with the government over a pay increase for nurses.,The Royal College of Nursing begins the largest strike action in the history of the National Health Service. It is a dispute with the government over a pay increase for nurses.
8,Former FTX CEO Sam Bankman-Fried is arrested in the Bahamas at the request of the U.S. government on undisclosed charges.,Former FTX CEO Sam Bankman-Fried is arrested in the Bahamas as requested by the US.,vinayak,Sam Bankman-Fried used to be the CEO of FTX. He was arrested in the Bahamas. This arrest was requested by the U.S. government. The charges for the arrest have not been revealed yet.,vishnesh,"Sam Bankman-Fried, the ex-CEO of FTX, was arrested in the Bahamas by the U.S. government. The reason was not revealed but it was due to some charges.","Sam Bankman-Fried, a former CEO of FTX, was arrested in the Bahamas. The U.S. government asked for his arrest, but the charges are unknown.",Former FTX CEO Sam Bankman-Fried is arrested in the Bahamas by the United States government on unknown charges.,Former FTX CEO Sam Bankman-Fried is arrested in the Bahamas. He is arrested at the request of the U.S. government on undisclosed charges.,Former FTX CEO Sam Bankman-Fried was arrested in the Bahamas at the request of the U.S. government on undisclosed charges.
9,"Japan's internal affairs ministry reports that the country experienced its highest level of inflation since 1981 last month, after core consumer prices increased by 3.7 percent from November 2021.","In November 2022, Japan reported that the country had record levels of inflation since 1981 after many consumer prices rose by 3.7% from last year.",ayush,"Japan’s Internal Affairs Ministry said that last month, Japan saw its highest inflation since 1981. Core consumer prices had gone up by 3.7 percent from November 2021.",vishnesh,"Japan's internal affairs ministry announced last month that core consumer prices rose by 3.7 percent compared to November 2021, making it the highest inflation rate recorded since 1981.",Japan's internal affairs ministry announced that last month the country experienced its most significant level of inflation since 1981. Core consumer prices had increased by 3.7 percent compared to November 2021.,Japan's internal affairs ministry reported last month that the country experienced its highest level of inflation since 1981. Core consumer prices increased by 3.7 percent from November 2021.,Japan's Internal Affairs Ministry reported that inflation reached its highest level since 1981 last month. Core consumer prices increased by 3.7 percent from November 2021.,Japan's internal affairs ministry reported that the country had its highest level of inflation since 1981. Core consumer prices increased by 3.7 percent from November 2021.
